Section,Line,Ref #,Claim Supported,Reference
Key Takeaways,408,1,"RRM diagnoses and treats the underlying conditions causing reproductive health problems. Treatment cooperates with and restores natural reproductive function.",IIRRM. What Is RRM? (2024)
Key Takeaways,410,5,"FABMs are clinical diagnostic instruments; daily biomarker data reveals hormonal patterns invisible to a single blood draw.",Duane et al. FABMs for Women's Health and Family Planning. Frontiers in Medicine (2022)
Key Takeaways,410,14,"ACOG recognized the menstrual cycle as a vital sign in 2015.",ACOG Committee Opinion No. 651 (2015)
Key Takeaways,412,3,"RRM research shows live birth rates of 26 to 62% for patients seeking fertility care.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
Key Takeaways,412,24,"RRM research shows live birth rates of 26 to 62%; crude rates of 26 to 41%.",Boyle et al. RRM vs IVF. JRRM (2025)
Key Takeaways,412,25,"Largest cohort (1310 couples) reporting adjusted cumulative rate of 62%.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Key Takeaways,413,27,"Male factor is solely responsible in ~20% of cases and contributory in another 30-40%.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
What Is RRM?,433,6,"RRM clinicians time interventions to the patient's cycle and target them to a specific diagnosis.",Duane & Brown. RRM for Infertility. FACTS (2025)
What Is RRM?,433,26,"RRM clinicians time interventions to the patient's cycle and target them to a specific diagnosis.",Whittaker N. RRM Explained. RRM Academy Commentary (2025)
What Is RRM?,434,2,"RRM clinicians come from varied backgrounds and serve patients of all faiths and none.",OSV News. NaPro Alternative to IVF (July 2025)
What Is RRM?,437,3,"RRM is supported by peer-reviewed research in JABFM, Frontiers in Medicine, and JRRM. Library indexes 3000+ publications.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
What Is RRM?,437,4,"RRM is supported by peer-reviewed research in multiple journals.",Tham et al. NaPro outcomes in Canadian practice. Can Fam Phys (2012)
History: Foundations (1950s-1970s),453,8,"Drs. John and Evelyn Billings established that cervical mucus patterns reflect underlying hormonal activity.",Billings Atlas of the Ovulation Method (1989)
History: Foundations (1950s-1970s),457,9,"Hilgers developed CrMS starting in 1976; daily charting data revealed patterns correlating with reproductive disorders.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
History: Charting to Clinical Medicine (1980s-1990s),463,9,"Hilgers founded the Saint Paul VI Institute in 1985; most detailed prospective research on female reproductive hormones.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
History: Expanding the Field (2000s-2010s),471,1,"IIRRM created after clinicians from Canada, Ireland, UK, Australia, and US began formal discussions starting Nov 2000.",IIRRM. What Is RRM? (2024)
History: Expanding the Field (2000s-2010s),478,5,"FACTS About Fertility (2010) began educating medical students and physicians about FABMs and RRM.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
History: Expanding the Field (2000s-2010s),479,6,"FEMM (2012) introduced hormonal health protocols combining fertility charting with medical management.",Duane & Brown. RRM for Infertility. FACTS (2025)
History: Expanding the Field (2000s-2010s),480,10,"NeoFertility (2016) developed by Dr. Phil Boyle expanded treatment options for autoimmune/inflammatory conditions.",Boyle et al. 16-year infertility case report. JMCR (2022)
History: Expanding the Field (2000s-2010s),483,11,"Yeung's RESTORE Center achieved 2.5% repeat-surgery rate for endo excision over ten years.",Yeung et al. Repeat surgery after excision. ASWH (2024)
History: Expanding the Field (2000s-2010s),483,39,"Recurrence rates as high as 40% within five years after ablation.",Guo SW. Recurrence of Endometriosis. Hum Reprod Update (2009)
History: Growing Recognition (2015-Present),489,23,"JRRM launched in 2025 as an open-access journal published by IIRRM with Dr. Joseph Stanford as Editor-in-Chief.",Stanford JB. Welcome to JRRM. JRRM (2025)
History: Growing Recognition (2015-Present),489,24,"JRRM inaugural volume included first head-to-head RRM-versus-IVF comparison.",Boyle et al. RRM vs IVF. JRRM (2025)
History: Growing Recognition (2015-Present),493,2,"RRM-trained clinicians practice internationally.",OSV News. NaPro Alternative to IVF (July 2025)
How RRM Diagnosis Works,510,27,"Male factor solely responsible in ~20% of infertile couples and contributory in another 30-40%.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
How RRM Diagnosis Works,513,24,"In Boyle 2025 the 'unexplained' category dropped from 24% to 1% after full RRM evaluation.",Boyle et al. RRM vs IVF. JRRM (2025)
FABMs in RRM,518,14,"ACOG recognized the menstrual cycle as a vital sign in 2015.",ACOG Committee Opinion No. 651 (2015)
FABMs in RRM,518,6,"FABMs are how RRM captures that vital sign in detail.",Duane & Brown. RRM for Infertility. FACTS (2025)
FABMs in RRM,531,9,"Biomarker signals (limited mucus, short luteal phase, spotting, irregular cycles) direct further testing.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
FABMs in RRM,588,6,"Charting builds body literacy; signals give clinicians actionable data.",Duane & Brown. RRM for Infertility. FACTS (2025)
FABMs in RRM,590,7,"Dr. Whittaker: practicing reproductive medicine without cycle chart data is 'flying blind.'",Shelton. Technically Human interview with Naomi. Substack (2026)
Conditions: Endometriosis,658,13,"Endometriosis affects ~10% of reproductive-age women. Median time from symptom onset to diagnosis is nine years.",Pugsley & Ballard. Endo diagnosis in GP. BJGP (2007)
Conditions: Endometriosis,662,11,"Yeung et al. reported 2.5% repeat surgery rate over ten years after excision.",Yeung et al. Repeat surgery after excision. ASWH (2024)
Conditions: Endometriosis,662,39,"Recurrence rates as high as 40% within five years after ablation.",Guo SW. Recurrence of Endometriosis. Hum Reprod Update (2009)
Conditions: PCOS,670,5,"Cycle charting reveals the specific ovulatory dysfunction present.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
Conditions: Unexplained Infertility,674,29,"'Unexplained infertility' is a label, not a diagnosis.",Gelbaya et al. Definition and Epidemiology of Unexplained Infertility. OGS (2014)
Conditions: Unexplained Infertility,676,6,"A cause is almost always found. RRM insists on answering why before deciding on treatment.",Duane & Brown. RRM for Infertility. FACTS (2025)
Conditions: Recurrent Miscarriage,682,4,"RRM expands the investigation: cycle-timed progesterone, thyroid, immune workup, anatomical assessment.",Tham et al. NaPro for infertility and recurrent miscarriage. Can Fam Phys (2012)
Conditions: Ovulatory Dysfunction,686,9,"Cycle charting reveals whether ovulation is occurring, when, and whether post-ovulatory phase is adequate.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
Conditions: Male Factor,690,27,"Male factor solely responsible in ~20% and contributory in 30-40%.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
Conditions: Male Factor,690,12,"RRM investigates the cause of male factor; goal is to restore sperm quality and treat man's health.",Waters & Dodson. Treating Infertility: New Frontier. Heritage Foundation (2025)
Conditions: Irregular Periods/Pain,694,7,"Conventional approach prescribes suppressive meds that eliminate the cycle and hide the disease.",Shelton. Technically Human interview with Naomi. Substack (2026)
Conditions: PMS/PMDD,698,9,"RRM evaluates hormonal levels across cycle; targeted support matched to specific deficiency.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
Conditions: Whole-Body Care,713,7,"RRM extends to nutritional/metabolic evaluation, mental health, environmental factors, couple-centered care.",Shelton. Technically Human interview with Naomi. Substack (2026)
RRM vs IVF: Comparison Table,744,24,"41% crude LBR (Boyle 2025, n=187).",Boyle et al. RRM vs IVF. JRRM (2025)
RRM vs IVF: Comparison Table,744,25,"50% adjusted at 24 mo, 62.1% at 36+ mo (Sanchez-Mendez 2025, n=1310).",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
RRM vs IVF: Comparison Table,744,16,"~33% per embryo transferred under 35 (HFEA mandatory reporting).",HFEA. Fertility Treatment 2021 Trends. (2023)
RRM vs IVF: Comparison Table,745,24,"4.0% singleton preterm delivery (Boyle 2025).",Boyle et al. RRM vs IVF. JRRM (2025)
RRM vs IVF: Comparison Table,745,16,"Higher preterm rates documented across registries.",HFEA. Fertility Treatment 2021 Trends. (2023)
RRM vs IVF: Comparison Table,747,15,"IVF: $40000-$60000 average (2-3 cycles); rarely covered by insurance.",Katz et al. Costs of Infertility Treatment. Fert Steril (2011)
RRM vs IVF: Cost,755,15,"IVF costs $15000 to $30000 per cycle. Most couples need 2-3 cycles ($40000-$60000+).",Katz et al. Costs of Infertility Treatment. Fert Steril (2011)
RRM vs IVF: Obstetric Outcomes,760,24,"Boyle 2025: preterm delivery rate for RRM singletons was 4.0%.",Boyle et al. RRM vs IVF. JRRM (2025)
RRM vs IVF: Obstetric Outcomes,760,30,"CDC: IVF singleton prematurity 11.8%. SART-reported IVF singletons 14.4%.",Kushnir et al. Status of Public Reporting in ART. Fert Steril (2013)
RRM vs IVF: Obstetric Outcomes,761,19,"Bewley et al. documented elevated risks of ectopic pregnancy, preeclampsia, placenta previa, cesarean in IVF.",Bewley et al. Adverse Outcomes from IVF. BMJ (2011)
RRM vs IVF: IVF Evidence Gap,765,33,"Cochrane review: only two RCTs comparing IVF to expectant management (86 women).",Sunkara et al. IVF for Unexplained Subfertility. Cochrane (2023)
RRM vs IVF: IVF Evidence Gap,765,34,"Cochrane review on interventions for unexplained infertility.",Wang et al. Interventions for Unexplained Infertility. Cochrane (2019)
RRM vs IVF: IVF Evidence Gap,765,31,"Per-cycle live birth rate for fresh non-donor IVF declined from ~30% (2010) to 22% (2016).",Gleicher et al. Worldwide Decline of IVF Birth Rates. Hum Reprod Open (2019)
RRM vs IVF: IVF Evidence Gap,765,32,"IVF add-ons correlate with declining birth rates.",Gleicher et al. US Birth Rates and IVF Add-Ons. Reprod Biol Endocrinol (2021)
RRM vs IVF: IVF Evidence Gap,766,35,"For PCOS and endo: published guidelines contain zero RCTs comparing IVF to other strategies.",Teede et al. 2023 PCOS Guideline. JCEM (2023)
RRM vs IVF: After Failed IVF,771,17,"Boyle 2018: 403 couples with avg 2.1 prior IVF attempts; 32.1% achieved live birth via natural conception.",Boyle et al. RRM After Failed IVF. Frontiers in Medicine (2018)
RRM vs IVF: After Failed IVF,772,10,"Boyle 2022: couple with 16 years infertility and 8 failed IVF embryo transfers achieved pregnancy via RRM.",Boyle et al. 16-year infertility case report. JMCR (2022)
Evidence: Stanford 2008,784,3,"Stanford 2008: crude LBR 25.5%, Kaplan-Meier adjusted 52.8% in Irish NaPro practice.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
Evidence: Tham 2012,786,4,"Tham 2012: 38% achieved at least one live birth; improved miscarriage outcomes.",Tham et al. NaPro for infertility and recurrent miscarriage. Can Fam Phys (2012)
Evidence: Stanford 2021,790,28,"Stanford 2021: 29% cumulative LBR at two years in two New England family medicine clinics.",Stanford et al. RRM in Two Family Medicine Clinics. BMC Preg Childbirth (2021)
Evidence: Boyle 2022,792,10,"Boyle 2022 case report: successful pregnancy after 16 years infertility and 8 failed IVF transfers.",Boyle et al. 16-year infertility case report. JMCR (2022)
Evidence: Boyle 2018,794,17,"Boyle 2018: 403 couples, 32.1% live birth rate, 92% born at 37+ weeks.",Boyle et al. RRM After Failed IVF. Frontiers in Medicine (2018)
Evidence: Boyle 2025,796,24,"Boyle 2025: first RRM-vs-IVF comparison; 41% crude LBR, 4.0% singleton prematurity.",Boyle et al. RRM vs IVF. JRRM (2025)
Evidence: Boyle 2025 chart,801,24,"187 couples treated at NeoFertility Dublin 2019. First head-to-head comparison.",Boyle et al. RRM vs IVF. JRRM (2025)
Evidence: Sanchez-Mendez 2025,935,25,"Sanchez-Mendez 2025: 1310 couples, crude LBR 35.3%, adjusted 62.1% at full follow-up.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Evidence: Sanchez-Mendez chart,940,25,"1310 couples in Madrid 2019-2023. Largest NaPro cohort study to date.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Evidence: Surgical Approaches,1096,11,"Yeung 2024: 2.5% repeat surgery rate over ten years after optimal excision (620 patients).",Yeung et al. Repeat surgery after excision. ASWH (2024)
Evidence: Cost Comparison,1102,15,"Katz 2011: medication-only fertility treatments cost substantially less than IVF over 18 months.",Katz et al. Costs of Infertility Treatment. Fert Steril (2011)
Evidence: Cost Comparison,1102,6,"RRM's billing through standard diagnostic categories creates potential cost advantage.",Duane & Brown. RRM for Infertility. FACTS (2025)
Evidence: RRM Pregnancy Safety,1106,24,"Boyle 2025: singleton prematurity 4.0%, low birth weight 5.3%, multiple pregnancies 2.5%.",Boyle et al. RRM vs IVF. JRRM (2025)
Evidence: RRM Pregnancy Safety,1106,16,"CDC: 11.8% singleton prematurity, 11.4% low birth weight in IVF pregnancies.",HFEA. Fertility Treatment 2021 Trends. (2023)
Evidence: IVF Pregnancy Risks,1108,19,"Bewley 2011: IVF associated with higher rates of ectopic, preeclampsia, placenta previa, cesarean.",Bewley et al. Adverse Outcomes from IVF. BMJ (2011)
Evidence: IVF Pregnancy Risks,1108,16,"HFEA confirms elevated rates of preterm birth, low birth weight, perinatal complications in IVF.",HFEA. Fertility Treatment 2021 Trends. (2023)
Evidence: Critics,1131,9,"Near-contact re-examination found pelvic disease in 93.5% of cases previously reported as normal.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
Evidence: Medical Education,1139,5,"FABMs account for just 4% of family planning mentions in US med school curricula.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
Evidence: Medical Education,1139,36,"Over 80% of family medicine residents receive less than one hour of FABM education.",Duane et al. US Medical Schools Reproductive Health Curricula. Issues Law Med (2022)
Evidence: Medical Education,1139,7,"Clinicians default to suppressive meds because no alternative framework was ever presented.",Shelton. Technically Human interview with Naomi. Substack (2026)
Evidence: Research Funding,1141,37,"Women's health research systematically underfunded; endo receives 18 cents per dollar of disease burden.",Mirin. Gender Disparity in NIH Funding. J Women's Health (2021)
Evidence: Research Funding,1141,38,"2024 NAS report: only 8.8% of NIH spending targeted women's health research.",NAS. Advancing Research on Chronic Conditions in Women. (2024)
Evidence: Femtech,1143,7,"Femtech science not validated against established biomarker research that RRM clinicians rely on.",Shelton. Technically Human interview with Naomi. Substack (2026)
Evidence: Conclusion,1145,7,"Couples who complete RRM evaluation leave with diagnosis, treatment record, and understanding.",Shelton. Technically Human interview with Naomi. Substack (2026)
Patient Journey: Timeline,1165,25,"Sanchez-Mendez 2025: median treatment duration 10.9 months; outcomes improving through 36 months.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Cost: Legislative Progress,1184,12,"Arkansas became first US state to mandate insurance coverage for RRM in 2025.",Waters & Dodson. Treating Infertility: New Frontier. Heritage Foundation (2025)
Cost: Legislative Progress,1184,20,"RESTORE Act (H.R. 3589) introduced in 119th Congress.",RESTORE Act H.R. 3589 (2025)
Training: FACTS,1222,21,"FACTS offers 13-part AAFP-accredited CME course; Georgetown-approved electives; annual conference.",FACTS. About FACTS. factsaboutfertility.org
Training: IIRRM,1230,1,"IIRRM provides international credentialing, Grand Rounds, publishes JRRM, maintains referral network.",IIRRM. What Is RRM? (2024)
Myths: Only for Religious,1241,1,"RRM is a medical discipline; no faith commitment required.",IIRRM. What Is RRM? (2024)
Myths: Alternative Medicine,1248,3,"RRM uses standard medical tools; published research in peer-reviewed journals.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
Myths: Alternative Medicine,1248,4,"Published research in peer-reviewed journals.",Tham et al. NaPro for infertility and recurrent miscarriage. Can Fam Phys (2012)
Myths: Alternative Medicine,1248,17,"Published research in peer-reviewed journals.",Boyle et al. RRM After Failed IVF. Frontiers in Medicine (2018)
Myths: Alternative Medicine,1248,10,"Published research in peer-reviewed journals.",Boyle et al. 16-year infertility case report. JMCR (2022)
Myths: Only for Infertility,1255,5,"Cycle-based evaluation useful for any patient across the lifespan. Fertility is one application.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
Myths: No Evidence Base,1262,24,"Boyle 2025: 41% LBR in 187 couples; first direct RRM-vs-IVF comparison.",Boyle et al. RRM vs IVF. JRRM (2025)
Myths: No Evidence Base,1262,25,"Sanchez-Mendez 2025: 1310 couples, adjusted cumulative rates of 62.1%.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Myths: Anti-IVF,1269,6,"RRM exists because millions deserve diagnostic workup and targeted treatment.",Duane & Brown. RRM for Infertility. FACTS (2025)
Myths: Anti-IVF,1270,7,"Framing of RRM as 'anti' anything comes from outside the field.",Shelton. Technically Human interview with Naomi. Substack (2026)
Myths: Withholds Options,1277,24,"In Boyle 2025 'unexplained infertility' dropped from 24% to 1% after RRM workup.",Boyle et al. RRM vs IVF. JRRM (2025)
Myths: Withholds Options,1278,9,"Near-contact re-examination found pelvic disease in 93.5% of cases previously reported as normal.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
Myths: Withholds Options,1279,7,"Dr. Whittaker's experience: IVF professor laughed at mucus/progesterone questions; IVF clinic scare tactics.",Shelton. Technically Human interview with Naomi. Substack (2026)
Myths: Delays Treatment,1287,24,"Boyle 2025: mean time from starting RRM to conception was 12 months.",Boyle et al. RRM vs IVF. JRRM (2025)
Myths: Delays Treatment,1289,7,"RRM patients leave with diagnosis, treatment record, understanding of reproductive health.",Shelton. Technically Human interview with Naomi. Substack (2026)
Myths: Trying to Treat Is Irresponsible,1297,11,"Yeung's ten-year database: 82% histologically confirmed endo, 2.5% repeat surgery after excision.",Yeung et al. Repeat surgery after excision. ASWH (2024)
Myths: Trying to Treat Is Irresponsible,1297,24,"Boyle 2025: 41% live birth rate with 4.0% singleton prematurity.",Boyle et al. RRM vs IVF. JRRM (2025)
Myths: Trying to Treat Is Irresponsible,1298,7,"Dr. Whittaker treated patients after REI left stage IV endo in place and told patient to come back for IVF.",Shelton. Technically Human interview with Naomi. Substack (2026)
Myths: Must Choose RRM or Conventional,1307,7,"RRM is what thorough cause-based conventional medicine looks like when applied to reproductive health.",Shelton. Technically Human interview with Naomi. Substack (2026)
Get Started: Find Clinician,1326,22,"Natural Womanhood provider directory.",Natural Womanhood. Find a Doctor. naturalwomanhood.org
Get Started: First Appointment,1327,27,"Bring charted cycles, medical history, prior labs. Ask if partner should attend.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
Get Started: FACTS,1336,21,"FACTS offers structured clinical elective and annual conference with CME.",FACTS. About FACTS. factsaboutfertility.org
Get Started: Advanced Training,1337,9,"Fellowship-level training through Saint Paul VI Institute; NaProTechnology-specific.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
FAQ: What is RRM?,1355,1,"RRM identifies and treats underlying causes of reproductive health conditions.",IIRRM. What Is RRM? (2024)
FAQ: Is RRM same as NaPro?,1362,9,"NaPro is its own system developed at Saint Paul VI Institute by Dr. Hilgers using CrMS.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
FAQ: How long does RRM take?,1369,3,"Treatment timelines vary; active treatment windows range from 3 to 18 months.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
FAQ: Male infertility?,1376,27,"Male factor solely responsible in ~20% and contributory in 30-40%.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
FAQ: After failed IVF?,1383,17,"Boyle et al. documented live births from RRM after multiple failed IVF cycles.",Boyle et al. RRM After Failed IVF. Frontiers in Medicine (2018)
FAQ: After failed IVF?,1383,10,"One case: successful pregnancy after 16 years infertility and 8 failed embryo transfers.",Boyle et al. 16-year infertility case report. JMCR (2022)
FAQ: Insurance?,1390,15,"Coverage variable; many services use standard billing codes.",Katz et al. Costs of Infertility Treatment. Fert Steril (2011)
FAQ: Insurance?,1390,20,"Arkansas enacted first state mandate for RRM coverage 2025. RESTORE Act introduced.",RESTORE Act H.R. 3589 (2025)
FAQ: Religious?,1397,1,"RRM is medical discipline grounded in reproductive physiology, not religious doctrine.",IIRRM. What Is RRM? (2024)
FAQ: Withholds IVF info?,1404,24,"In Boyle 2025 'unexplained' cases may involve diagnosable conditions.",Boyle et al. RRM vs IVF. JRRM (2025)
FAQ: Withholds IVF info?,1404,25,"Published outcome data available for patient evaluation.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
FAQ: Delays treatment?,1411,24,"Boyle 2025: mean time from starting RRM to conception 12 months (187 couples).",Boyle et al. RRM vs IVF. JRRM (2025)
FAQ: Delays treatment?,1411,3,"RRM patients end process with diagnosis and treated disease.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
FAQ: Surgery without IVF for endo?,1418,11,"Yeung: 82% histologically confirmed endo, 2.5% repeat surgery rate after excision.",Yeung et al. Repeat surgery after excision. ASWH (2024)
FAQ: Surgery without IVF for endo?,1418,24,"Boyle 2025: 41% live birth rate, 4.0% singleton prematurity.",Boyle et al. RRM vs IVF. JRRM (2025)
FAQ: Surgery without IVF for endo?,1418,3,"Excision combined with hormonal evaluation and cycle-timed protocols.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
FAQ: Success rate?,1425,24,"Boyle 2025: 41% LBR in 187 couples.",Boyle et al. RRM vs IVF. JRRM (2025)
FAQ: Success rate?,1425,3,"Published studies report LBR 26-41%; adjusted cumulative 50-62.1%.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
FAQ: Success rate?,1425,4,"Results vary by diagnosis, age, and individual factors.",Tham et al. NaPro for infertility and recurrent miscarriage. Can Fam Phys (2012)
FAQ: Different from regular OBGYN?,1432,7,"RRM asks 'why' before deciding 'what'; starts with cycle chart as diagnostic tool.",Shelton. Technically Human interview with Naomi. Substack (2026)
FAQ: Find a doctor?,1439,22,"IIRRM provider directory; Natural Womanhood directory; method-specific instructor networks.",Natural Womanhood. Find a Doctor. naturalwomanhood.org
FAQ: Cost vs IVF?,1446,15,"IVF $15000-$30000/cycle; most need 2-3 cycles ($40000-$60000+). RRM costs a fraction.",Katz et al. Costs of Infertility Treatment. Fert Steril (2011)
FAQ: Charting methods?,1453,5,"Creighton Model, Marquette, FEMM, Billings, SymptoThermal. Each tracks different biomarkers.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
FAQ: Help with endo?,1460,11,"RRM excision surgeons: 2.5% repeat-surgery rate over ten years.",Yeung et al. Repeat surgery after excision. ASWH (2024)
FAQ: Help with endo?,1460,39,"Ablation recurrence rates as high as 40% within five years.",Guo SW. Recurrence of Endometriosis. Hum Reprod Update (2009)
FAQ: Is RRM safe?,1467,19,"RRM does not involve high-dose ovarian stimulation or egg retrieval associated with IVF.",Bewley et al. Adverse Outcomes from IVF. BMJ (2011)
FAQ: Teenagers?,1474,14,"ACOG recognizes menstrual cycle as vital sign in adolescents.",ACOG Committee Opinion No. 651 (2015)
FAQ: RRM vs fertility treatment?,1495,6,"RRM focuses on diagnosing and treating the condition that prevents pregnancy.",Duane & Brown. RRM for Infertility. FACTS (2025)
FAQ: Other conditions?,1502,1,"RRM treats endo, PCOS, pelvic pain, hormonal imbalances, thyroid, perimenopause, and more.",IIRRM. What Is RRM? (2024)
FAQ: Become RRM provider?,1509,21,"IIRRM offers international certification. FACTS offers medical elective.",FACTS. About FACTS. factsaboutfertility.org
